symbol,name,ticktime,price,volume,prev_price,kind
sz300747,锐科激光,2025-09-29 09:37:18,25.75,18400,25.72,U
sz300747,锐科激光,2025-09-29 09:37:21,25.71,17600,25.75,D
sz300747,锐科激光,2025-09-29 09:37:27,25.71,26900,25.74,D
sz300747,锐科激光,2025-09-29 09:37:30,25.73,31300,25.71,U
sz300747,锐科激光,2025-09-29 09:38:00,25.72,17400,25.72,D
sz300747,锐科激光,2025-09-29 09:38:03,25.72,12300,25.72,E
sz300747,锐科激光,2025-09-29 09:38:06,25.73,8300,25.72,U
sz300747,锐科激光,2025-09-29 09:38:12,25.71,34300,25.72,D
sz300747,锐科激光,2025-09-29 09:38:24,25.72,10000,25.72,U
sz300747,锐科激光,2025-09-29 09:38:48,25.66,21100,25.72,D
sz300747,锐科激光,2025-09-29 09:38:51,25.68,16300,25.66,U
sz300747,锐科激光,2025-09-29 09:39:06,25.62,8900,25.64,D
sz300747,锐科激光,2025-09-29 09:39:12,25.6,18400,25.62,D
sz300747,锐科激光,2025-09-29 09:39:15,25.6,8400,25.6,D
sz300747,锐科激光,2025-09-29 09:39:18,25.65,14800,25.6,U
sz300747,锐科激光,2025-09-29 09:39:27,25.65,9500,25.62,U
sz300747,锐科激光,2025-09-29 09:39:51,25.61,21500,25.62,D
sz300747,锐科激光,2025-09-29 09:39:54,25.63,10600,25.61,U
sz300747,锐科激光,2025-09-29 09:40:00,25.64,8100,25.63,U
sz300747,锐科激光,2025-09-29 09:40:09,25.62,21800,25.62,E
sz300747,锐科激光,2025-09-29 09:40:12,25.57,11800,25.62,D
sz300747,锐科激光,2025-09-29 09:40:54,25.63,50800,25.6,U
sz300747,锐科激光,2025-09-29 09:41:03,25.64,13500,25.59,U
sz300747,锐科激光,2025-09-29 09:41:15,25.63,16000,25.62,U
sz300747,锐科激光,2025-09-29 09:41:30,25.61,12500,25.63,D
sz300747,锐科激光,2025-09-29 09:41:36,25.59,40400,25.61,E
sz300747,锐科激光,2025-09-29 09:41:39,25.58,10000,25.59,E
sz300747,锐科激光,2025-09-29 09:42:00,25.58,12100,25.58,D
sz300747,锐科激光,2025-09-29 09:42:03,25.55,14400,25.58,D
sz300747,锐科激光,2025-09-29 09:42:15,25.58,8900,25.56,U
sz300747,锐科激光,2025-09-29 09:42:27,25.58,9300,25.58,D
sz300747,锐科激光,2025-09-29 09:42:33,25.63,21300,25.59,U
sz300747,锐科激光,2025-09-29 09:42:39,25.63,8800,25.59,U
sz300747,锐科激光,2025-09-29 09:42:42,25.63,35000,25.63,U
sz300747,锐科激光,2025-09-29 09:43:00,25.56,15400,25.59,D
sz300747,锐科激光,2025-09-29 09:43:03,25.57,8300,25.56,E
sz300747,锐科激光,2025-09-29 09:43:12,25.59,8100,25.57,D
sz300747,锐科激光,2025-09-29 09:43:15,25.55,11200,25.59,D
sz300747,锐科激光,2025-09-29 09:43:30,25.57,15800,25.55,D
sz300747,锐科激光,2025-09-29 09:43:42,25.61,25800,25.61,U
sz300747,锐科激光,2025-09-29 09:44:00,25.55,41900,25.59,D
sz300747,锐科激光,2025-09-29 09:44:03,25.58,52400,25.55,U
sz300747,锐科激光,2025-09-29 09:44:06,25.61,45000,25.58,U
sz300747,锐科激光,2025-09-29 09:44:18,25.58,11900,25.6,D
sz300747,锐科激光,2025-09-29 09:44:21,25.56,21200,25.58,D
sz300747,锐科激光,2025-09-29 09:44:39,25.56,10300,25.55,U
sz300747,锐科激光,2025-09-29 09:44:42,25.56,9900,25.56,U
sz300747,锐科激光,2025-09-29 09:44:45,25.5,67700,25.56,D
sz300747,锐科激光,2025-09-29 09:44:48,25.51,88000,25.5,U
sz300747,锐科激光,2025-09-29 09:44:51,25.48,58800,25.51,D
sz300747,锐科激光,2025-09-29 09:44:54,25.5,36200,25.48,U
sz300747,锐科激光,2025-09-29 09:44:57,25.5,10200,25.5,U
sz300747,锐科激光,2025-09-29 09:45:12,25.5,28400,25.48,U
sz300747,锐科激光,2025-09-29 09:45:18,25.49,13400,25.49,D
sz300747,锐科激光,2025-09-29 09:45:24,25.5,26300,25.5,U
sz300747,锐科激光,2025-09-29 09:45:27,25.48,18500,25.5,D
sz300747,锐科激光,2025-09-29 09:45:36,25.46,13200,25.47,D
sz300747,锐科激光,2025-09-29 09:45:45,25.48,16900,25.47,U
sz300747,锐科激光,2025-09-29 09:45:48,25.5,43500,25.48,U
sz300747,锐科激光,2025-09-29 09:45:54,25.51,12700,25.49,U
sz300747,锐科激光,2025-09-29 09:46:00,25.51,18400,25.51,D
sz300747,锐科激光,2025-09-29 09:46:18,25.55,24000,25.55,U
sz300747,锐科激光,2025-09-29 09:46:36,25.57,11600,25.57,D
sz300747,锐科激光,2025-09-29 09:46:48,25.56,28200,25.54,E
sz300747,锐科激光,2025-09-29 09:46:51,25.54,9300,25.56,D
sz300747,锐科激光,2025-09-29 09:47:09,25.5,10700,25.52,D
sz300747,锐科激光,2025-09-29 09:47:33,25.46,7900,25.48,D
sz300747,锐科激光,2025-09-29 09:47:54,25.53,16200,25.51,U
sz300747,锐科激光,2025-09-29 09:48:27,25.54,44500,25.5,E
sz300747,锐科激光,2025-09-29 09:48:33,25.56,14000,25.53,E
sz300747,锐科激光,2025-09-29 09:49:18,25.63,37700,25.6,U
sz300747,锐科激光,2025-09-29 09:49:24,25.64,29700,25.6,U
sz300747,锐科激光,2025-09-29 09:49:27,25.64,17300,25.64,U
sz300747,锐科激光,2025-09-29 09:49:51,25.56,9900,25.59,D
sz300747,锐科激光,2025-09-29 09:49:57,25.61,11900,25.58,U
sz300747,锐科激光,2025-09-29 09:50:03,25.58,10200,25.56,E
sz300747,锐科激光,2025-09-29 09:50:21,25.5,11000,25.53,D
sz300747,锐科激光,2025-09-29 09:50:24,25.53,9200,25.5,U
sz300747,锐科激光,2025-09-29 09:50:42,25.55,36000,25.53,U
sz300747,锐科激光,2025-09-29 09:50:57,25.54,8600,25.57,D
sz300747,锐科激光,2025-09-29 09:51:48,25.59,20300,25.57,U
sz300747,锐科激光,2025-09-29 09:51:51,25.59,11900,25.59,D
sz300747,锐科激光,2025-09-29 09:52:21,25.5,40500,25.53,D
sz300747,锐科激光,2025-09-29 09:52:30,25.52,28400,25.52,U
sz300747,锐科激光,2025-09-29 09:52:45,25.55,9200,25.57,D
sz300747,锐科激光,2025-09-29 09:52:57,25.51,19700,25.52,D
sz300747,锐科激光,2025-09-29 09:53:39,25.54,13900,25.52,U
sz300747,锐科激光,2025-09-29 09:53:54,25.55,8000,25.55,U
sz300747,锐科激光,2025-09-29 09:54:18,25.49,14500,25.52,D
sz300747,锐科激光,2025-09-29 09:54:24,25.48,13800,25.49,D
sz300747,锐科激光,2025-09-29 09:54:30,25.45,38300,25.48,D
sz300747,锐科激光,2025-09-29 09:54:33,25.47,14300,25.45,E
sz300747,锐科激光,2025-09-29 09:54:42,25.45,20100,25.47,D
sz300747,锐科激光,2025-09-29 09:54:45,25.45,12100,25.45,D
sz300747,锐科激光,2025-09-29 09:54:51,25.41,89800,25.45,D
sz300747,锐科激光,2025-09-29 09:55:00,25.45,24000,25.45,D
sz300747,锐科激光,2025-09-29 09:55:06,25.47,11600,25.46,U
sz300747,锐科激光,2025-09-29 09:55:12,25.45,12400,25.47,D
sz300747,锐科激光,2025-09-29 09:55:18,25.5,8500,25.47,U
sz300747,锐科激光,2025-09-29 09:55:54,25.42,16600,25.43,D
sz300747,锐科激光,2025-09-29 09:56:27,25.47,21500,25.45,U
sz300747,锐科激光,2025-09-29 09:56:42,25.48,8300,25.47,U
sz300747,锐科激光,2025-09-29 09:56:45,25.49,10000,25.48,U
sz300747,锐科激光,2025-09-29 09:57:00,25.54,10400,25.49,U
sz300747,锐科激光,2025-09-29 09:57:24,25.53,12400,25.53,D
sz300747,锐科激光,2025-09-29 09:57:33,25.51,30000,25.52,D
sz300747,锐科激光,2025-09-29 09:57:51,25.5,30400,25.54,D
sz300747,锐科激光,2025-09-29 09:58:39,25.59,27400,25.54,U
sz300747,锐科激光,2025-09-29 09:58:42,25.6,16400,25.59,U
sz300747,锐科激光,2025-09-29 09:58:48,25.57,28800,25.58,D
sz300747,锐科激光,2025-09-29 09:58:51,25.55,17300,25.57,D
sz300747,锐科激光,2025-09-29 09:59:30,25.64,9800,25.63,U
sz300747,锐科激光,2025-09-29 09:59:39,25.69,12400,25.67,U
sz300747,锐科激光,2025-09-29 09:59:42,25.7,11300,25.69,U
sz300747,锐科激光,2025-09-29 09:59:48,25.72,16100,25.7,U
sz300747,锐科激光,2025-09-29 10:00:00,25.69,25500,25.7,E
sz300747,锐科激光,2025-09-29 10:00:48,25.7,9200,25.69,U
sz300747,锐科激光,2025-09-29 10:01:06,25.67,10200,25.69,D
sz300747,锐科激光,2025-09-29 10:01:57,25.67,23000,25.65,U
sz300747,锐科激光,2025-09-29 10:02:00,25.65,26500,25.67,D
sz300747,锐科激光,2025-09-29 10:02:03,25.65,14000,25.65,U
sz300747,锐科激光,2025-09-29 10:02:09,25.67,31700,25.65,U
sz300747,锐科激光,2025-09-29 10:02:21,25.68,19000,25.67,U
sz300747,锐科激光,2025-09-29 10:02:27,25.7,25300,25.69,U
sz300747,锐科激光,2025-09-29 10:02:30,25.68,28200,25.7,D
sz300747,锐科激光,2025-09-29 10:03:00,25.67,9700,25.67,U
sz300747,锐科激光,2025-09-29 10:03:21,25.61,22000,25.66,D
sz300747,锐科激光,2025-09-29 10:03:24,25.61,22200,25.61,U
sz300747,锐科激光,2025-09-29 10:03:39,25.61,7900,25.62,E
sz300747,锐科激光,2025-09-29 10:03:57,25.61,9000,25.62,E
sz300747,锐科激光,2025-09-29 10:04:42,25.64,12100,25.64,U
sz300747,锐科激光,2025-09-29 10:04:48,25.7,8900,25.67,U
sz300747,锐科激光,2025-09-29 10:05:18,25.66,8500,25.67,D
sz300747,锐科激光,2025-09-29 10:05:24,25.64,26300,25.65,E
sz300747,锐科激光,2025-09-29 10:05:57,25.69,8800,25.69,U
sz300747,锐科激光,2025-09-29 10:06:33,25.74,9300,25.69,U
sz300747,锐科激光,2025-09-29 10:06:48,25.72,14900,25.73,D
sz300747,锐科激光,2025-09-29 10:07:27,25.66,8600,25.67,D
sz300747,锐科激光,2025-09-29 10:08:24,25.67,22200,25.7,D
sz300747,锐科激光,2025-09-29 10:08:27,25.65,8700,25.67,D
sz300747,锐科激光,2025-09-29 10:08:57,25.66,10764,25.68,D
sz300747,锐科激光,2025-09-29 10:09:36,25.71,10700,25.69,U
sz300747,锐科激光,2025-09-29 10:09:39,25.71,18800,25.71,U
sz300747,锐科激光,2025-09-29 10:10:03,25.72,27900,25.72,U
sz300747,锐科激光,2025-09-29 10:10:24,25.69,13400,25.74,D
sz300747,锐科激光,2025-09-29 10:11:00,25.69,28000,25.72,D
sz300747,锐科激光,2025-09-29 10:11:09,25.72,10300,25.72,U
sz300747,锐科激光,2025-09-29 10:12:03,25.67,21100,25.73,D
sz300747,锐科激光,2025-09-29 10:13:09,25.72,17200,25.69,U
sz300747,锐科激光,2025-09-29 10:13:30,25.71,24700,25.69,U
sz300747,锐科激光,2025-09-29 10:14:06,25.7,16000,25.72,D
sz300747,锐科激光,2025-09-29 10:15:27,25.73,8100,25.73,U
sz300747,锐科激光,2025-09-29 10:15:36,25.75,11500,25.74,U
sz300747,锐科激光,2025-09-29 10:16:00,25.77,24400,25.74,U
sz300747,锐科激光,2025-09-29 10:16:21,25.79,10700,25.79,U
sz300747,锐科激光,2025-09-29 10:17:06,25.76,9200,25.77,D
sz300747,锐科激光,2025-09-29 10:17:39,25.8,9300,25.8,U
sz300747,锐科激光,2025-09-29 10:17:45,25.79,20800,25.79,U
sz300747,锐科激光,2025-09-29 10:19:15,25.72,28700,25.75,D
sz300747,锐科激光,2025-09-29 10:19:45,25.73,8500,25.74,D
sz300747,锐科激光,2025-09-29 10:20:57,25.71,20700,25.72,D
sz300747,锐科激光,2025-09-29 10:21:36,25.72,10300,25.73,D
sz300747,锐科激光,2025-09-29 10:22:39,25.71,9700,25.68,U
sz300747,锐科激光,2025-09-29 10:23:33,25.77,13850,25.74,U
sz300747,锐科激光,2025-09-29 10:23:48,25.78,8000,25.78,U
sz300747,锐科激光,2025-09-29 10:24:06,25.8,9200,25.79,U
sz300747,锐科激光,2025-09-29 10:24:09,25.82,15000,25.8,U
sz300747,锐科激光,2025-09-29 10:24:15,25.8,10100,25.81,D
sz300747,锐科激光,2025-09-29 10:24:21,25.81,13700,25.82,D
sz300747,锐科激光,2025-09-29 10:24:24,25.81,21100,25.81,U
sz300747,锐科激光,2025-09-29 10:25:03,25.85,8400,25.83,U
sz300747,锐科激光,2025-09-29 10:25:06,25.85,16000,25.85,U
sz300747,锐科激光,2025-09-29 10:25:12,25.87,16200,25.85,U
sz300747,锐科激光,2025-09-29 10:26:12,25.89,28200,25.9,D
sz300747,锐科激光,2025-09-29 10:26:18,25.91,22200,25.87,U
sz300747,锐科激光,2025-09-29 10:26:57,25.9,20200,25.89,U
sz300747,锐科激光,2025-09-29 10:27:00,25.89,20200,25.9,D
sz300747,锐科激光,2025-09-29 10:27:24,25.89,17300,25.9,D
sz300747,锐科激光,2025-09-29 10:27:57,25.86,8100,25.89,D
sz300747,锐科激光,2025-09-29 10:28:00,25.83,15900,25.86,D
sz300747,锐科激光,2025-09-29 10:28:42,25.83,23300,25.84,D
sz300747,锐科激光,2025-09-29 10:28:45,25.85,11600,25.83,U
sz300747,锐科激光,2025-09-29 10:29:45,25.83,15500,25.89,D
sz300747,锐科激光,2025-09-29 10:30:06,25.9,14000,25.88,U
sz300747,锐科激光,2025-09-29 10:30:09,25.91,25715,25.9,U
sz300747,锐科激光,2025-09-29 10:30:12,25.92,20400,25.91,U
sz300747,锐科激光,2025-09-29 10:30:27,25.93,13400,25.93,U
sz300747,锐科激光,2025-09-29 10:30:48,25.9,33585,25.91,D
sz300747,锐科激光,2025-09-29 10:31:03,25.95,11400,25.92,U
sz300747,锐科激光,2025-09-29 10:31:18,25.91,21300,25.93,D
sz300747,锐科激光,2025-09-29 10:32:57,25.9,33415,25.88,U
sz300747,锐科激光,2025-09-29 10:34:03,25.89,8600,25.89,U
sz300747,锐科激光,2025-09-29 10:34:12,25.89,17400,25.89,U
sz300747,锐科激光,2025-09-29 10:35:36,25.9,45600,25.9,U
sz300747,锐科激光,2025-09-29 10:36:03,25.88,20500,25.87,U
sz300747,锐科激光,2025-09-29 10:36:06,25.9,76900,25.88,U
sz300747,锐科激光,2025-09-29 10:36:36,25.9,18100,25.91,D
sz300747,锐科激光,2025-09-29 10:36:45,25.88,18000,25.9,D
sz300747,锐科激光,2025-09-29 10:37:06,25.9,23100,25.92,D
sz300747,锐科激光,2025-09-29 10:37:57,25.88,8500,25.88,U
sz300747,锐科激光,2025-09-29 10:39:09,25.86,7800,25.88,D
sz300747,锐科激光,2025-09-29 10:39:27,25.85,10700,25.85,D
sz300747,锐科激光,2025-09-29 10:39:30,25.87,19000,25.85,U
sz300747,锐科激光,2025-09-29 10:40:09,25.87,10400,25.87,U
sz300747,锐科激光,2025-09-29 10:40:12,25.87,7900,25.87,U
sz300747,锐科激光,2025-09-29 10:40:18,25.87,8400,25.87,U
sz300747,锐科激光,2025-09-29 10:42:27,25.78,8800,25.79,D
sz300747,锐科激光,2025-09-29 10:43:18,25.77,11600,25.77,D
sz300747,锐科激光,2025-09-29 10:43:27,25.79,8200,25.77,U
sz300747,锐科激光,2025-09-29 10:43:30,25.79,12100,25.79,U
sz300747,锐科激光,2025-09-29 10:43:51,25.77,7900,25.79,E
sz300747,锐科激光,2025-09-29 10:44:00,25.76,13100,25.78,D
sz300747,锐科激光,2025-09-29 10:45:54,25.8,18400,25.81,D
sz300747,锐科激光,2025-09-29 10:46:03,25.79,10100,25.8,D
sz300747,锐科激光,2025-09-29 10:46:06,25.8,7900,25.79,U
sz300747,锐科激光,2025-09-29 10:48:51,25.82,7900,25.79,U
sz300747,锐科激光,2025-09-29 10:49:06,25.79,10000,25.83,D
sz300747,锐科激光,2025-09-29 10:49:57,25.81,21900,25.79,E
sz300747,锐科激光,2025-09-29 10:50:45,25.83,8100,25.84,E
sz300747,锐科激光,2025-09-29 10:50:48,25.8,8100,25.83,D
sz300747,锐科激光,2025-09-29 10:51:15,25.78,10500,25.8,D
sz300747,锐科激光,2025-09-29 10:51:36,25.78,13300,25.82,D
sz300747,锐科激光,2025-09-29 10:51:39,25.77,20000,25.78,D
sz300747,锐科激光,2025-09-29 10:52:21,25.86,8400,25.84,U
sz300747,锐科激光,2025-09-29 10:54:33,25.88,8700,25.88,U
sz300747,锐科激光,2025-09-29 10:58:36,25.79,10400,25.81,D
sz300747,锐科激光,2025-09-29 10:59:06,25.78,9300,25.79,D
sz300747,锐科激光,2025-09-29 11:02:18,25.78,9200,25.79,D
sz300747,锐科激光,2025-09-29 11:02:57,25.78,12900,25.8,D
sz300747,锐科激光,2025-09-29 11:03:00,25.83,10700,25.78,U
sz300747,锐科激光,2025-09-29 11:03:06,25.81,8800,25.83,D
sz300747,锐科激光,2025-09-29 11:04:18,25.8,7900,25.8,D
sz300747,锐科激光,2025-09-29 11:04:27,25.84,10300,25.8,U
sz300747,锐科激光,2025-09-29 11:05:21,25.84,12000,25.84,U
sz300747,锐科激光,2025-09-29 11:05:36,25.81,8000,25.82,D
sz300747,锐科激光,2025-09-29 11:05:48,25.85,13700,25.84,U
sz300747,锐科激光,2025-09-29 11:06:03,25.84,8600,25.82,E
sz300747,锐科激光,2025-09-29 11:06:36,25.84,11400,25.82,U
sz300747,锐科激光,2025-09-29 11:06:57,25.82,9000,25.83,D
sz300747,锐科激光,2025-09-29 11:10:09,25.79,8500,25.79,D
sz300747,锐科激光,2025-09-29 11:10:15,25.74,30000,25.79,D
sz300747,锐科激光,2025-09-29 11:10:48,25.77,15900,25.78,D
sz300747,锐科激光,2025-09-29 11:11:00,25.77,13600,25.77,D
sz300747,锐科激光,2025-09-29 11:11:03,25.75,10600,25.77,D
sz300747,锐科激光,2025-09-29 11:11:30,25.73,10100,25.74,D
sz300747,锐科激光,2025-09-29 11:11:33,25.72,14300,25.73,D
sz300747,锐科激光,2025-09-29 11:11:45,25.72,19600,25.74,D
sz300747,锐科激光,2025-09-29 11:12:00,25.71,15500,25.73,D
sz300747,锐科激光,2025-09-29 11:12:06,25.71,7800,25.74,D
sz300747,锐科激光,2025-09-29 11:12:15,25.71,9500,25.71,D
sz300747,锐科激光,2025-09-29 11:12:18,25.71,13000,25.71,U
sz300747,锐科激光,2025-09-29 11:12:27,25.7,9500,25.71,D
sz300747,锐科激光,2025-09-29 11:14:42,25.74,13400,25.73,U
sz300747,锐科激光,2025-09-29 11:16:42,25.77,8000,25.76,U
sz300747,锐科激光,2025-09-29 11:17:18,25.81,16100,25.77,U
sz300747,锐科激光,2025-09-29 11:19:00,25.74,10000,25.8,D
sz300747,锐科激光,2025-09-29 11:19:12,25.75,20000,25.8,D
sz300747,锐科激光,2025-09-29 11:19:27,25.75,20000,25.77,D
sz300747,锐科激光,2025-09-29 11:19:36,25.77,19300,25.75,U
sz300747,锐科激光,2025-09-29 11:20:45,25.72,12000,25.74,D
sz300747,锐科激光,2025-09-29 11:23:21,25.75,8600,25.75,U
sz300747,锐科激光,2025-09-29 11:24:06,25.74,7900,25.74,D
sz300747,锐科激光,2025-09-29 11:24:21,25.73,9300,25.75,D
sz300747,锐科激光,2025-09-29 11:25:30,25.74,8300,25.74,U
sz300747,锐科激光,2025-09-29 11:29:03,25.75,36800,25.77,D
sz300747,锐科激光,2025-09-29 13:00:00,25.74,12200,25.71,U
sz300747,锐科激光,2025-09-29 13:00:03,25.74,10400,25.74,D
sz300747,锐科激光,2025-09-29 13:00:06,25.75,32400,25.74,U
sz300747,锐科激光,2025-09-29 13:00:09,25.75,9000,25.75,D
sz300747,锐科激光,2025-09-29 13:00:15,25.74,10700,25.75,D
sz300747,锐科激光,2025-09-29 13:01:06,25.68,10900,25.7,D
sz300747,锐科激光,2025-09-29 13:01:36,25.69,8200,25.7,D
sz300747,锐科激光,2025-09-29 13:01:45,25.68,19100,25.7,D
sz300747,锐科激光,2025-09-29 13:01:54,25.7,13100,25.68,U
sz300747,锐科激光,2025-09-29 13:02:03,25.68,15000,25.7,D
sz300747,锐科激光,2025-09-29 13:02:15,25.64,22000,25.66,D
sz300747,锐科激光,2025-09-29 13:02:18,25.63,7900,25.64,D
sz300747,锐科激光,2025-09-29 13:02:27,25.64,13800,25.66,D
sz300747,锐科激光,2025-09-29 13:02:36,25.6,29600,25.64,D
sz300747,锐科激光,2025-09-29 13:02:42,25.6,17100,25.6,D
sz300747,锐科激光,2025-09-29 13:02:57,25.61,8400,25.61,U
sz300747,锐科激光,2025-09-29 13:03:24,25.61,12500,25.6,U
sz300747,锐科激光,2025-09-29 13:03:51,25.58,20300,25.6,D
sz300747,锐科激光,2025-09-29 13:04:15,25.62,8800,25.62,U
sz300747,锐科激光,2025-09-29 13:05:06,25.6,10400,25.64,D
sz300747,锐科激光,2025-09-29 13:05:12,25.64,25600,25.62,E
sz300747,锐科激光,2025-09-29 13:05:42,25.65,19000,25.65,D
sz300747,锐科激光,2025-09-29 13:06:21,25.63,13500,25.64,D
sz300747,锐科激光,2025-09-29 13:06:42,25.61,22700,25.62,D
sz300747,锐科激光,2025-09-29 13:08:06,25.56,21600,25.58,D
sz300747,锐科激光,2025-09-29 13:08:15,25.56,8100,25.57,D
sz300747,锐科激光,2025-09-29 13:08:33,25.59,12000,25.58,U
sz300747,锐科激光,2025-09-29 13:08:45,25.57,8100,25.58,D
sz300747,锐科激光,2025-09-29 13:09:00,25.56,7900,25.56,D
sz300747,锐科激光,2025-09-29 13:09:21,25.55,10700,25.55,U
sz300747,锐科激光,2025-09-29 13:09:24,25.55,25600,25.55,U
sz300747,锐科激光,2025-09-29 13:09:45,25.52,9800,25.52,D
sz300747,锐科激光,2025-09-29 13:09:51,25.52,26200,25.52,U
sz300747,锐科激光,2025-09-29 13:10:00,25.52,21900,25.53,E
sz300747,锐科激光,2025-09-29 13:10:06,25.51,8900,25.51,U
sz300747,锐科激光,2025-09-29 13:10:18,25.5,8500,25.51,E
sz300747,锐科激光,2025-09-29 13:11:00,25.51,16000,25.49,U
sz300747,锐科激光,2025-09-29 13:11:06,25.49,18400,25.49,U
sz300747,锐科激光,2025-09-29 13:11:12,25.49,14400,25.5,D
sz300747,锐科激光,2025-09-29 13:11:24,25.49,16600,25.49,U
sz300747,锐科激光,2025-09-29 13:12:00,25.5,23600,25.49,U
sz300747,锐科激光,2025-09-29 13:12:12,25.48,9500,25.49,D
sz300747,锐科激光,2025-09-29 13:12:51,25.49,29000,25.49,U
sz300747,锐科激光,2025-09-29 13:12:57,25.47,18500,25.49,D
sz300747,锐科激光,2025-09-29 13:13:03,25.51,26800,25.47,U
sz300747,锐科激光,2025-09-29 13:13:12,25.52,17000,25.49,U
sz300747,锐科激光,2025-09-29 13:13:42,25.5,8800,25.51,D
sz300747,锐科激光,2025-09-29 13:14:27,25.51,8300,25.51,D
sz300747,锐科激光,2025-09-29 13:14:36,25.53,34400,25.52,U
sz300747,锐科激光,2025-09-29 13:14:42,25.52,10300,25.54,D
sz300747,锐科激光,2025-09-29 13:14:45,25.54,12900,25.52,U
sz300747,锐科激光,2025-09-29 13:15:09,25.51,11300,25.52,D
sz300747,锐科激光,2025-09-29 13:15:18,25.5,10800,25.53,D
sz300747,锐科激光,2025-09-29 13:15:30,25.5,12100,25.5,U
sz300747,锐科激光,2025-09-29 13:16:03,25.51,9000,25.53,D
sz300747,锐科激光,2025-09-29 13:16:21,25.52,32700,25.52,D
sz300747,锐科激光,2025-09-29 13:17:33,25.5,11900,25.53,D
sz300747,锐科激光,2025-09-29 13:17:36,25.5,14100,25.5,D
sz300747,锐科激光,2025-09-29 13:18:09,25.5,8400,25.51,D
sz300747,锐科激光,2025-09-29 13:18:39,25.5,9700,25.51,D
sz300747,锐科激光,2025-09-29 13:18:45,25.49,19300,25.5,D
sz300747,锐科激光,2025-09-29 13:19:03,25.52,41700,25.5,U
sz300747,锐科激光,2025-09-29 13:19:06,25.49,19700,25.52,D
sz300747,锐科激光,2025-09-29 13:19:18,25.5,29100,25.49,U
sz300747,锐科激光,2025-09-29 13:19:30,25.49,23800,25.47,U
sz300747,锐科激光,2025-09-29 13:19:42,25.49,16500,25.49,U
sz300747,锐科激光,2025-09-29 13:20:00,25.46,22300,25.46,D
sz300747,锐科激光,2025-09-29 13:20:30,25.47,8200,25.47,U
sz300747,锐科激光,2025-09-29 13:21:21,25.47,23200,25.47,U
sz300747,锐科激光,2025-09-29 13:21:36,25.47,11000,25.47,U
sz300747,锐科激光,2025-09-29 13:22:21,25.45,29300,25.45,D
