symbol,name,ticktime,price,volume,prev_price,kind
sh688663,新风光,2025-09-29 09:35:42,39.75,17006,39.81,D
sh688663,新风光,2025-09-29 09:35:45,39.62,25780,39.75,D
sh688663,新风光,2025-09-29 09:35:48,39.61,25808,39.62,D
sh688663,新风光,2025-09-29 09:35:51,39.75,17448,39.61,U
sh688663,新风光,2025-09-29 09:35:57,39.62,26782,39.62,D
sh688663,新风光,2025-09-29 09:36:06,39.62,5560,39.72,D
sh688663,新风光,2025-09-29 09:36:12,39.61,11441,39.62,D
sh688663,新风光,2025-09-29 09:36:18,39.75,14900,39.62,U
sh688663,新风光,2025-09-29 09:36:27,39.75,7739,39.8,D
sh688663,新风光,2025-09-29 09:36:42,39.85,13271,39.88,E
sh688663,新风光,2025-09-29 09:36:54,39.8,5965,39.62,U
sh688663,新风光,2025-09-29 09:37:03,39.71,7633,39.69,U
sh688663,新风光,2025-09-29 09:37:24,39.62,5824,39.69,D
sh688663,新风光,2025-09-29 09:37:33,39.63,25507,39.61,E
sh688663,新风光,2025-09-29 09:37:36,39.77,6079,39.63,U
sh688663,新风光,2025-09-29 09:37:39,39.63,13589,39.77,D
sh688663,新风光,2025-09-29 09:38:00,39.64,5634,39.64,D
sh688663,新风光,2025-09-29 09:38:03,39.82,10609,39.64,U
sh688663,新风光,2025-09-29 09:38:12,39.79,5600,39.82,E
sh688663,新风光,2025-09-29 09:39:15,39.86,7181,39.86,U
sh688663,新风光,2025-09-29 09:40:03,39.84,5500,39.84,E
sh688663,新风光,2025-09-29 09:40:15,39.7,11624,39.84,D
sh688663,新风光,2025-09-29 09:40:27,39.69,5500,39.76,E
sh688663,新风光,2025-09-29 09:40:36,39.8,8647,39.71,U
sh688663,新风光,2025-09-29 09:40:39,39.69,6295,39.8,D
sh688663,新风光,2025-09-29 09:40:45,39.63,5712,39.69,D
sh688663,新风光,2025-09-29 09:40:54,39.8,7574,39.74,U
sh688663,新风光,2025-09-29 09:41:09,39.85,6878,39.81,U
sh688663,新风光,2025-09-29 09:42:03,39.86,7134,39.85,E
sh688663,新风光,2025-09-29 09:42:33,39.81,5200,39.86,D
sh688663,新风光,2025-09-29 09:43:06,39.92,11403,39.92,U
sh688663,新风光,2025-09-29 09:43:24,40.0,11297,39.95,U
sh688663,新风光,2025-09-29 09:43:48,40.01,16331,39.98,U
sh688663,新风光,2025-09-29 09:48:30,40.0,8700,40.0,U
sh688663,新风光,2025-09-29 09:53:00,40.01,8840,40.05,D
sh688663,新风光,2025-09-29 09:54:15,39.97,9956,40.04,D
sh688663,新风光,2025-09-29 09:54:21,39.86,7679,39.97,D
sh688663,新风光,2025-09-29 09:58:36,39.79,6152,39.75,U
sh688663,新风光,2025-09-29 09:59:06,39.88,10957,39.84,U
sh688663,新风光,2025-09-29 09:59:12,39.84,5200,39.88,D
sh688663,新风光,2025-09-29 09:59:24,39.84,10100,39.84,U
sh688663,新风光,2025-09-29 10:00:24,39.66,10237,39.75,D
sh688663,新风光,2025-09-29 10:00:33,39.66,5784,39.65,U
sh688663,新风光,2025-09-29 10:01:09,39.61,11358,39.65,D
sh688663,新风光,2025-09-29 10:01:18,39.57,13512,39.61,D
sh688663,新风光,2025-09-29 10:02:27,39.56,8700,39.57,D
sh688663,新风光,2025-09-29 10:04:30,39.62,16765,39.62,U
sh688663,新风光,2025-09-29 10:04:33,39.62,12338,39.62,U
sh688663,新风光,2025-09-29 10:10:15,39.95,11208,39.89,U
sh688663,新风光,2025-09-29 10:10:30,39.95,11975,39.97,D
sh688663,新风光,2025-09-29 10:10:51,39.95,42209,39.96,D
sh688663,新风光,2025-09-29 10:12:03,40.0,8600,39.97,U
sh688663,新风光,2025-09-29 10:16:15,40.05,48540,40.07,D
sh688663,新风光,2025-09-29 10:16:33,39.9,32797,39.95,D
sh688663,新风光,2025-09-29 10:21:36,39.95,5717,39.93,U
sh688663,新风光,2025-09-29 10:21:39,39.92,6669,39.95,D
sh688663,新风光,2025-09-29 10:25:27,39.96,5200,39.96,U
sh688663,新风光,2025-09-29 10:25:33,39.96,5400,39.96,U
sh688663,新风光,2025-09-29 10:30:06,40.09,6400,40.07,U
sh688663,新风光,2025-09-29 10:31:42,40.24,9600,40.04,U
sh688663,新风光,2025-09-29 10:34:57,40.23,11286,40.13,U
sh688663,新风光,2025-09-29 10:36:45,40.4,20767,40.27,U
sh688663,新风光,2025-09-29 10:37:36,40.4,7308,40.4,D
sh688663,新风光,2025-09-29 10:37:54,40.4,8000,40.43,D
sh688663,新风光,2025-09-29 10:38:06,40.4,5720,40.4,D
sh688663,新风光,2025-09-29 10:56:15,39.9,11107,39.97,D
sh688663,新风光,2025-09-29 10:56:18,39.97,7400,39.9,U
sh688663,新风光,2025-09-29 10:56:21,40.06,15898,39.97,U
sh688663,新风光,2025-09-29 10:56:45,40.06,8480,40.03,U
sh688663,新风光,2025-09-29 10:56:54,40.13,6275,40.06,U
sh688663,新风光,2025-09-29 11:01:15,40.17,10341,40.14,U
sh688663,新风光,2025-09-29 11:02:54,40.02,10900,40.08,D
sh688663,新风光,2025-09-29 11:07:42,40.02,18000,40.13,D
sh688663,新风光,2025-09-29 11:08:36,40.01,9462,40.01,D
sh688663,新风光,2025-09-29 11:10:57,40.0,25200,40.04,D
sh688663,新风光,2025-09-29 11:25:42,39.94,8869,39.87,U
sh688663,新风光,2025-09-29 13:10:15,39.89,12000,39.88,E
sh688663,新风光,2025-09-29 13:15:21,39.95,6585,39.99,U
sh688663,新风光,2025-09-29 13:15:39,39.95,7737,39.95,D
sh688663,新风光,2025-09-29 13:17:00,39.85,6092,39.85,D
sh688663,新风光,2025-09-29 13:17:15,39.8,14907,39.84,D
sh688663,新风光,2025-09-29 13:17:54,39.77,5500,39.77,U
sh688663,新风光,2025-09-29 13:19:48,39.79,6946,39.79,D
sh688663,新风光,2025-09-29 13:22:30,39.83,16035,39.79,U
sh688663,新风光,2025-09-29 13:27:09,39.77,6014,39.81,D
sh688663,新风光,2025-09-29 13:27:54,39.71,13137,39.78,D
sh688663,新风光,2025-09-29 13:32:06,39.8,6623,39.81,D
sh688663,新风光,2025-09-29 13:35:09,39.76,5067,39.81,D
sh688663,新风光,2025-09-29 13:38:06,39.73,9871,39.76,D
sh688663,新风光,2025-09-29 13:38:30,39.72,8449,39.73,D
sh688663,新风光,2025-09-29 13:40:21,39.65,24101,39.71,D
sh688663,新风光,2025-09-29 13:40:27,39.65,7927,39.65,D
sh688663,新风光,2025-09-29 13:42:54,39.7,5628,39.7,D
sh688663,新风光,2025-09-29 13:45:06,39.65,7382,39.63,U
sh688663,新风光,2025-09-29 13:46:00,39.62,5671,39.63,D
sh688663,新风光,2025-09-29 13:46:06,39.59,16390,39.6,D
sh688663,新风光,2025-09-29 13:59:06,39.69,8535,39.7,D
sh688663,新风光,2025-09-29 14:06:42,39.82,6712,39.8,U
sh688663,新风光,2025-09-29 14:11:51,39.77,6800,39.76,U
sh688663,新风光,2025-09-29 14:20:06,39.86,6000,39.83,U
sh688663,新风光,2025-09-29 14:21:18,39.78,11291,39.87,D
sh688663,新风光,2025-09-29 14:21:21,39.78,12099,39.78,U
sh688663,新风光,2025-09-29 14:28:42,40.0,6849,40.0,U
sh688663,新风光,2025-09-29 14:30:03,39.96,7870,39.9,U
sh688663,新风光,2025-09-29 14:30:54,39.96,5530,40.0,D
sh688663,新风光,2025-09-29 14:35:15,39.95,24659,39.98,D
sh688663,新风光,2025-09-29 14:35:39,39.98,6154,39.92,U
sh688663,新风光,2025-09-29 14:36:06,40.11,5037,40.04,U
sh688663,新风光,2025-09-29 14:36:30,40.13,20864,40.08,U
sh688663,新风光,2025-09-29 14:36:33,40.14,25622,40.13,U
sh688663,新风光,2025-09-29 14:37:45,40.33,27138,40.28,U
sh688663,新风光,2025-09-29 14:37:54,40.26,6257,40.26,U
sh688663,新风光,2025-09-29 14:43:51,40.08,5300,40.07,U
sh688663,新风光,2025-09-29 14:50:09,40.11,9059,40.1,E
sh688663,新风光,2025-09-29 14:53:15,40.12,5517,40.13,D
sh688663,新风光,2025-09-29 14:53:24,40.1,5672,40.11,D
sh688663,新风光,2025-09-29 14:53:27,40.11,5978,40.1,E
sh688663,新风光,2025-09-29 14:54:48,40.07,6400,40.15,D
sh688663,新风光,2025-09-29 14:54:54,40.06,6362,40.07,D
sh688663,新风光,2025-09-29 14:55:27,40.17,8200,40.17,U
sh688663,新风光,2025-09-29 14:55:30,40.06,6000,40.17,D
sh688663,新风光,2025-09-29 14:56:45,40.2,20668,40.15,U
sh688663,新风光,2025-09-29 15:00:03,40.25,84373,40.2,U
